property_id,account_number,name,address1,city,state_prov,postal_code,primary_contact_id
296,9122-000,Lamar Ventures,2941 S Adara Dr,Snoqualamish,WA,98215,21
339,9897-000,Riley Income Tax Service,1710 W Liberty Rd,Snoqualamish,WA,98215,24
657,23592-000,Park Mayfair Home Owners Assoc,6931 W Meadow Bend Dr,Snoqualamish,WA,98215,46
685,16891-000,A & B Forest Fresh CO,4415 N Ferguson Ave,Snoqualamish,WA,98215,50
23,8767-000,Seniors in Community Living Inc,9095 S Greyson Dr,Snoqualamish,WA,98215,1
90,5644-000,Sheridan Sanitation District #2,7022 N Ryan Meadow Pl,Snoqualamish,WA,98215,6
692,16989-000,Steele Elementary School,6916 W Crooked Elm CT,Snoqualamish,WA,98215,51
838,19545-000,Mann Robert Oriental,1637 W Ketterington Ln,Snoqualamish,WA,98215,61
100092,,Echosphere Corporation,7210 West View Dr,Snoqualiamish,WA,98215,69
547,14394-000,Boulder Mtn Overcharge Claim Audit,7930 S Mays Ln,Snoqualamish,WA,98215,43
629,16462-000,R L Plimpton Assoc Inc,7480 N Lakehurst CT,Snoqualamish,WA,98215,44
839,19728-000,Xelco Collection Service,4535 Willow Park CT,Snoqualamish,WA,98215,62
69,22782-000,Lakewood Family Medical Clinic Pc,7846 Champions CT,Snoqualamish,WA,98215,4
82,5081-000,Polymedica Industries Inc,2672 N Hornsea Dr,Snoqualamish,WA,98215,5
221,22403-000,North Star Liquor,7698 E Hunters Bnd,Snoqualamish,WA,98215,12
224,8087-000,LA Salle Partners,5622 E Sterling Glen Dr,Snoqualamish,WA,98215,13
274,8795-000,Specialty Systems,785 S Wallsend CT,Snoqualamish,WA,98215,18
418,11682-000,Mattress Factory The,6732 S Olde Dublin Woods Dr,Snoqualamish,WA,98215,32
100410,,Greg's House of Pancakes,1435 N El Monte BLVD,Snoqualamish,Wa,98215,
248,8415-000,Willie's Place,8488 S Strathmoore Rd,Snoqualamish,WA,98215,15
374,10672-000,Weber Management Company,6679 S Cross Creek CT,Snoqualamish,WA,98215,28
388,11398-000,Academy T V Service,7704 E Quarter Way,Snoqualamish,WA,98215,30
398,11476-000,Pacific Jewelry & Loan CO,2566 S Main Rd,Snoqualamish,WA,98215,31
461,12105-000,Ollie's Roundup,9451 S Banbridge Ln,Snoqualamish,WA,98215,35
522,24264-000,Metro Dishwasher,3557 W Lawton St,Snoqualamish,WA,98215,41
26,21739-0,Littleton Garage Door Service,6669 S Scottwood CT,Snoqualamish,WA,98215,0
138,6669-000,T-M Service CO,1328 S Dogwood Ln,Snoqualamish,WA,98215,8
309,9315-000,A Flag House,1583 W Kim Rd,Snoqualamish,WA,98215,23
450,11993-000,World Wide Funding,197 W Maxwell Ave,Snoqualamish,WA,98215,34
665,16755-000,Opus One Designs,3166 S Guard-Well St,Snoqualamish,WA,98215,49
100129,,Hospitality Group Inc The,429 Cali Glen Ln,Snoqualiamish,WA,98215,72
